,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
790,юр. лицо,списание средств,2993.29,безналичный,Гродно,Белинвестбанк-XJPZ-312,19-10-2011,16:44:07,успешно,да,167.2
796,юр. лицо,списание средств,2253.59,безналичный,Витебск,Беларусбанк-QAQT-791,29-05-2019,02:48:47,успешно,да,214.47
806,физ. лицо,списание средств,1866.3,наличный,Минск,БелАгропромбанк-EGLO-834,13-08-2004,06:33:50,неправильный ввод пин-кода,да,45.41
808,физ. лицо,списание средств,3117.72,безналичный,Брест,БелАгропромбанк-WLXB-734,08-06-2019,18:09:20,неправильный ввод пин-кода,да,280.66
809,физ. лицо,списание средств,4046.01,наличный,Гомель,МаксБанк-XUVO-295,02-09-2021,18:01:26,неправильный ввод пин-кода,да,331.13
814,юр. лицо,списание средств,4619.77,наличный,Гродно,МаксБанк-MNPO-477,14-09-2015,19:18:10,недостаточно средств,да,433.57
816,физ. лицо,списание средств,2551.11,безналичный,Витебск,МаксБанк-XHYW-607,20-01-2019,15:12:39,неправильный ввод пин-кода,да,187.28
817,юр. лицо,списание средств,3819.83,безналичный,Брест,Беларусбанк-OMEJ-793,19-09-2001,05:02:56,недостаточно средств,да,337.43
824,физ. лицо,списание средств,607.11,наличный,Гродно,МаксБанк-WUDP-812,23-07-2023,05:18:33,неправильный ввод пин-кода,да,44.82
826,физ. лицо,списание средств,1685.65,безналичный,Брест,Приорбанк-QKBW-730,01-01-2020,19:46:04,недостаточно средств,да,158.04
828,физ. лицо,списание средств,3848.29,наличный,Гродно,Белинвестбанк-VJAB-929,22-05-2023,15:28:21,недостаточно средств,да,76.16
830,юр. лицо,списание средств,4760.66,безналичный,Могилев,Беларусбанк-IONE-583,24-03-2024,19:37:06,успешно,да,285.22
832,юр. лицо,списание средств,4110.33,безналичный,Витебск,Белинвестбанк-XKXL-519,01-06-2013,13:32:40,неправильный ввод пин-кода,да,62.59
842,юр. лицо,списание средств,2010.99,безналичный,Гродно,Беларусбанк-HSDL-799,07-12-2005,00:32:30,успешно,да,23.75
860,физ. лицо,списание средств,358.8,наличный,Минск,Белинвестбанк-ATIE-951,08-06-2023,10:56:57,успешно,да,29.89
869,юр. лицо,списание средств,925.04,наличный,Могилев,БелАгропромбанк-HHXB-819,18-12-2016,02:05:30,неправильный ввод пин-кода,да,86.4
878,юр. лицо,списание средств,4478.52,безналичный,Минск,Белинвестбанк-UPJQ-151,23-03-2006,06:56:07,успешно,да,53.95
888,юр. лицо,списание средств,4734.6,наличный,Брест,Беларусбанк-NJMI-221,20-03-2016,15:29:52,недостаточно средств,да,411.81
889,юр. лицо,списание средств,179.15,безналичный,Минск,Приорбанк-DXPA-986,13-07-2012,19:29:26,недостаточно средств,да,17.79
893,физ. лицо,списание средств,2259.88,безналичный,Гомель,БелАгропромбанк-KLFS-209,28-09-2023,04:48:59,недостаточно средств,да,186.79
896,физ. лицо,списание средств,683.85,наличный,Гомель,МаксБанк-HPXR-818,19-01-2014,15:58:15,неправильный ввод пин-кода,да,26.66
897,юр. лицо,списание средств,306.55,безналичный,Гродно,Приорбанк-KPBB-618,01-03-2022,03:45:27,недостаточно средств,да,13.29
902,юр. лицо,списание средств,3311.43,наличный,Гродно,МаксБанк-QTIU-849,10-03-2014,10:23:07,недостаточно средств,да,107.23
904,физ. лицо,списание средств,2160.94,наличный,Гродно,Белинвестбанк-JJAL-857,01-11-2013,12:53:04,неправильный ввод пин-кода,да,150.12
911,юр. лицо,списание средств,110.61,наличный,Минск,Беларусбанк-VMUK-191,19-05-2001,17:09:07,неправильный ввод пин-кода,да,10.02
914,юр. лицо,списание средств,832.89,наличный,Гомель,БелАгропромбанк-WZSE-914,02-07-2014,13:40:48,успешно,да,41.3
917,физ. лицо,списание средств,1033.61,безналичный,Минск,Приорбанк-BYZL-123,16-07-2006,07:06:49,неправильный ввод пин-кода,да,65.18
918,юр. лицо,списание средств,1224.98,безналичный,Витебск,Белинвестбанк-FTVZ-340,05-01-2023,14:24:36,успешно,да,70.85
919,физ. лицо,списание средств,2612.19,безналичный,Витебск,МаксБанк-TKNI-475,18-11-2001,06:24:36,успешно,да,111.15
929,физ. лицо,списание средств,1555.48,наличный,Минск,Белинвестбанк-VVVO-034,22-03-2007,11:00:48,успешно,да,123.11
952,физ. лицо,списание средств,1035.01,наличный,Брест,Белинвестбанк-ULOA-079,24-04-2015,07:41:46,успешно,да,88.88
957,физ. лицо,списание средств,2478.06,наличный,Гродно,Беларусбанк-WCXK-940,08-02-2015,05:14:28,недостаточно средств,да,67.45
970,физ. лицо,списание средств,2123.03,наличный,Могилев,Беларусбанк-OVEY-196,04-02-2019,03:02:05,успешно,да,92.53
976,юр. лицо,списание средств,3659.62,безналичный,Гомель,МаксБанк-PEAK-542,11-07-2007,20:56:04,успешно,да,275.84
978,физ. лицо,списание средств,4614.14,наличный,Брест,Белинвестбанк-HXAE-732,30-11-2003,08:01:57,неправильный ввод пин-кода,да,368.76
981,юр. лицо,списание средств,3927.16,безналичный,Минск,Беларусбанк-LTHF-821,15-01-2000,08:38:31,недостаточно средств,да,137.64
985,юр. лицо,списание средств,1235.6,наличный,Гродно,Белинвестбанк-ASDX-154,02-11-2002,17:40:23,успешно,да,103.77
987,юр. лицо,списание средств,1120.65,безналичный,Могилев,Беларусбанк-DIPX-679,11-04-2014,20:14:48,недостаточно средств,да,109.97
